20210225,Austin,"February 25, 2021 Austin City Council Special Called Meeting ",Transcript,https://www.austintexas.gov/edims/document.cfm?id=355458,Video,http://austintx.swagit.com/play/113382/0/
20210223,Austin,"February 23, 2021 Housing and Planning Committee Regular Meeting ",Agenda: Housing and Planning Committee (HPC),https://www.austintexas.gov/edims/document.cfm?id=354993
20210223,Austin,"February 23, 2021 Housing and Planning Committee Regular Meeting ",Agenda - Cancellation Notice: Housing and Planning Committee (HPC),https://www.austintexas.gov/edims/document.cfm?id=355195
20210216,Austin,"February 16, 2021 Austin City Council Work Session ",Agenda - Work Session,https://www.austintexas.gov/edims/document.cfm?id=355015
20210216,Austin,"February 16, 2021 Austin City Council Work Session ",Agenda - Cancellation Notice: Council Work Session,https://www.austintexas.gov/edims/document.cfm?id=355140
20210302,Austin,"March 2, 2021 Austin City Council Special Called Meeting ",Agenda - Special Called Meeting,https://www.austintexas.gov/edims/document.cfm?id=355545
20210302,Austin,"March 2, 2021 Austin City Council Special Called Meeting ",Transcript,https://www.austintexas.gov/edims/document.cfm?id=355911,Video,http://austintx.swagit.com/play/113891/0/
20210218,Austin,"February 18, 2021 Austin City Council Regular Meeting   ",Agenda,https://www.austintexas.gov/edims/document.cfm?id=354471
20210218,Austin,"February 18, 2021 Austin City Council Regular Meeting   ",Combined Agenda and Addendum,https://www.austintexas.gov/edims/document.cfm?id=355068
20210218,Austin,"February 18, 2021 Austin City Council Regular Meeting   ",Agenda Addendum,https://www.austintexas.gov/edims/document.cfm?id=355016
20210218,Austin,"February 18, 2021 Austin City Council Regular Meeting   ",Agenda Addendum: Second Addendum,https://www.austintexas.gov/edims/document.cfm?id=355084
20210218,Austin,"February 18, 2021 Austin City Council Regular Meeting   ",Agenda - Cancellation Notice,https://www.austintexas.gov/edims/document.cfm?id=355141
20210310,Austin,"March 10, 2021 Health & Human Services Committee Regular Meeting ",Agenda: Health and Human Services Committee (HHSC),https://www.austintexas.gov/edims/document.cfm?id=356047
20210310,Austin,"March 10, 2021 Health & Human Services Committee Regular Meeting ",Transcript,https://www.austintexas.gov/edims/document.cfm?id=356648,Video,http://austintx.swagit.com/play/114250/0/
20210303,Austin,"March 3, 2021 Austin Energy Utility Oversight Committee Meeting ",Agenda: Austin Energy Utility Oversight Committee (AEUOC),https://www.austintexas.gov/edims/document.cfm?id=355525
20210303,Austin,"March 3, 2021 Austin Energy Utility Oversight Committee Meeting ",Transcript,https://www.austintexas.gov/edims/document.cfm?id=355961,Video,http://austintx.swagit.com/play/113985/0/
20210304,Austin,"March 4, 2021 Austin Housing Finance Corporation (AHFC) Board of Directors AHFC Meeting ",Agenda: Austin Housing Finance Corporation (AHFC),https://www.austintexas.gov/edims/document.cfm?id=355546
20210304,Austin,"March 4, 2021 Austin Housing Finance Corporation (AHFC) Board of Directors AHFC Meeting ",Transcript,https://www.austintexas.gov/edims/document.cfm?id=356044,Video,http://austintx.swagit.com/play/114034/0/
20210302,Austin,"March 2, 2021 Austin City Council Work Session ",Agenda - Work Session,https://www.austintexas.gov/edims/document.cfm?id=355548
20210302,Austin,"March 2, 2021 Austin City Council Work Session ",Transcript,https://www.austintexas.gov/edims/document.cfm?id=355910,Video,http://austintx.swagit.com/play/113900/0/
20210303,Austin,"March 3, 2021 Austin Water Oversight Committee Meeting ",Agenda: Austin Water Oversight Committee (AWOC),https://www.austintexas.gov/edims/document.cfm?id=355524
20210303,Austin,"March 3, 2021 Austin Water Oversight Committee Meeting ",Transcript,https://www.austintexas.gov/edims/document.cfm?id=355960,Video,http://austintx.swagit.com/play/113985/0/
20210310,Austin,"March 10, 2021 Public Safety Committee Regular Meeting ",Agenda: Public Safety Committee (PSC),https://www.austintexas.gov/edims/document.cfm?id=355522
20210310,Austin,"March 10, 2021 Public Safety Committee Regular Meeting ",Transcript,https://www.austintexas.gov/edims/document.cfm?id=356651,Video,http://austintx.swagit.com/play/114260/0/
20210311,Austin,"March 11, 2021 Housing and Planning Committee Regular Meeting ",Agenda: Housing and Planning Committee (HPC),https://www.austintexas.gov/edims/document.cfm?id=356046
20210311,Austin,"March 11, 2021 Housing and Planning Committee Regular Meeting ",Transcript,https://www.austintexas.gov/edims/document.cfm?id=356649,Video,http://austintx.swagit.com/play/114325/0/
20210309,Austin,"March 9, 2021 Austin City Council Special Called Meeting ",Agenda - Special Called Meeting,https://www.austintexas.gov/edims/document.cfm?id=356060
20210309,Austin,"March 9, 2021 Austin City Council Special Called Meeting ",Transcript,https://www.austintexas.gov/edims/document.cfm?id=356653,Video,http://austintx.swagit.com/play/114167/0/
20210311,Austin,"March 11, 2021 Mobility Committee Regular Meeting ",Agenda: Mobility Committee (MOBC),https://www.austintexas.gov/edims/document.cfm?id=355523
20210311,Austin,"March 11, 2021 Mobility Committee Regular Meeting ",Transcript,https://www.austintexas.gov/edims/document.cfm?id=356650,Video,http://austintx.swagit.com/play/114331/0/
20210401,Austin,"April 1, 2021 Austin City Council Special Called Meeting ",Agenda - Special Called Meeting,https://www.austintexas.gov/edims/document.cfm?id=357262
20210401,Austin,"April 1, 2021 Austin City Council Special Called Meeting ",Agenda Addendum - Special Called Meeting,https://www.austintexas.gov/edims/document.cfm?id=357407
20210401,Austin,"April 1, 2021 Austin City Council Special Called Meeting ",Transcript,https://www.austintexas.gov/edims/document.cfm?id=357603,Video,http://austintx.swagit.com/play/117016/0/
20210330,Austin,"March 30, 2021 Austin City Council Special Called Meeting ",Agenda - Special Called Meeting: Joint Meeting with Travis County Commissioners Court,https://www.austintexas.gov/edims/document.cfm?id=357263
